25,057,000
18,944,900
22,886,000
18,996,800
22,907,100
22,965,700
16,049,000
20,943,900
17,952,200
23,932,600
25,991,400
11,142,400
25,935,100
11,968,200
24,030,100
19,946,500
14,959,900
16,019,000
13,959,700
13,961,700
26,035,300
24,933,400
13,961,900
22,063,400
11,001,100
24,087,300
13,963,200
23,954,200
20,943,000
19,946,900
24,933,200
12,941,500
22,904,000
16,951,100
24,864,300
25,931,600
18,949,300
22,933,800
17,947,600
27,925,500
20,943,900
12,875,700
23,118,600
18,135,500
12,963,600
11,963,700
24,997,400
23,930,600
21,947,000
20,003,900
24,009,200
14,959,300
16,953,800
13,968,500
26,939,900
25,927,800
14,958,300
21,992,500
24,261,500
17,952,300
23,985,600
19,987,400
28,029,500
20,047,500
23,943,200
16,022,700
16,096,800
14,959,200
12,935,200
19,961,900
21,941,100
22,978,400
11,996,200
22,947,300
26,951,600
25,929,500
23,937,900
21,988,600
25,927,000
15,971,300
27,925,700
24,932,200
12,963,300
18,949,700
16,948,100
20,057,500
12,965,700
14,960,900
14,960,200
21,941,800
21,961,200
21,941,500
15,042,000
15,957,800
14,960,100
22,934,400
23,941,200
21,942,400
19,943,200
25,930,800
