20,977,900
21,941,600
20,943,600
19,922,700
19,946,700
18,949,500
20,052,600
18,985,500
17,961,700
23,049,000
17,968,200
21,950,700
23,920,900
16,954,600
22,939,200
21,942,000
23,935,700
23,962,100
23,935,900
22,934,600
22,938,900
23,031,700
22,866,500
25,047,000
20,943,700
20,975,400
22,001,700
20,944,000
20,942,600
17,972,400
20,942,700
20,944,100
20,943,200
20,943,500
19,038,700
17,967,600
18,948,800
25,930,700
18,949,500
18,022,000
18,960,700
17,952,700
23,950,100
17,948,100
17,952,100
22,938,400
22,939,600
15,956,700
21,941,600
22,937,200
22,938,500
20,943,900
22,935,300
22,939,400
19,942,600
22,964,800
21,957,400
21,004,000
21,978,000
21,940,600
20,944,900
20,949,500
21,941,200
19,956,600
19,946,600
21,036,600
19,946,900
19,959,800
19,963,000
17,951,700
18,950,400
19,102,000
17,953,200
17,951,700
18,103,300
24,927,900
16,950,600
16,956,100
23,935,300
18,028,100
23,052,000
23,936,000
23,936,800
23,885,300
23,066,400
20,945,600
22,938,300
21,941,100
21,940,300
20,983,600
19,956,500
22,936,200
19,978,000
20,943,700
21,104,800
20,945,400
26,073,600
19,046,600
19,946,600
18,949,300
18,949,800
19,946,300
25,967,900
17,006,600
17,952,900
24,929,100
17,008,200
23,931,800
25,930,300
18,949,500
16,955,400
21,011,300
23,838,000
24,051,000
22,929,100
23,029,000
