23,982,400
24,950,900
24,016,600
25,013,600
24,083,100
23,969,900
22,938,100
29,919,600
22,938,900
29,946,700
21,935,200
23,005,000
21,941,600
21,987,000
20,943,200
21,941,400
20,943,600
21,120,600
21,050,300
20,944,700
18,948,900
19,945,900
19,946,600
26,981,900
26,904,900
26,935,500
25,926,900
18,864,600
24,935,200
24,966,400
24,945,200
24,988,700
23,982,200
24,933,400
25,042,700
24,932,600
23,937,100
23,931,400
22,937,200
24,007,200
22,924,200
23,049,800
22,938,000
22,050,800
21,941,300
22,052,900
20,944,800
20,943,500
21,941,800
21,046,300
21,008,800
19,938,500
20,018,700
26,971,900
26,943,500
26,013,300
26,047,500
26,006,400
25,871,300
25,895,500
25,036,200
24,932,100
24,934,200
24,929,100
23,994,700
23,935,900
23,975,400
23,973,500
23,935,300
24,037,200
22,938,800
22,938,500
23,103,400
21,939,600
22,938,600
22,054,000
21,939,500
21,941,100
19,946,800
28,118,600
21,001,000
27,925,200
20,943,800
19,946,500
20,072,500
18,948,400
27,055,400
25,938,100
25,946,800
25,928,400
26,085,200
24,889,600
25,103,600
24,933,300
24,920,300
24,048,200
25,061,000
24,097,800
23,893,400
24,032,600
23,968,900
22,939,200
22,939,200
22,938,000
22,939,200
21,941,700
25,931,100
21,076,100
22,940,600
21,964,200
28,026,900
21,983,500
20,927,500
27,923,600
26,927,900
19,947,000
19,978,700
26,988,600
18,997,400
26,924,200
25,934,300
25,941,500
25,883,400
24,933,100
24,988,200
24,935,900
24,931,400
