24,934,700
20,943,800
23,041,200
19,946,800
19,077,000
26,007,400
20,020,800
18,949,300
22,934,600
26,058,900
27,949,600
24,071,500
21,975,400
19,858,200
23,937,000
20,944,600
21,941,200
21,941,600
26,039,700
22,935,500
26,927,700
19,966,200
23,919,900
23,970,000
23,936,100
23,966,200
21,940,900
22,934,600
29,920,500
28,923,200
21,940,100
20,944,100
20,943,900
20,912,900
20,946,000
21,038,800
19,946,300
19,951,000
26,954,100
27,122,000
19,960,300
25,930,300
19,028,400
19,027,500
24,931,600
17,971,400
24,949,400
24,949,400
39,110,200
23,935,800
24,932,700
24,933,400
23,994,800
23,988,600
22,934,600
23,935,800
22,951,900
22,936,500
22,958,300
22,052,000
22,136,300
21,977,400
21,941,300
19,946,700
20,944,500
20,944,000
21,941,700
20,105,600
21,020,400
20,943,400
19,946,800
26,026,000
19,880,100
25,930,400
24,918,400
25,030,700
25,940,000
25,912,800
25,007,400
24,931,900
24,963,900
23,932,300
24,029,500
22,938,100
23,935,400
23,849,200
23,938,200
22,939,400
22,031,600
21,983,600
30,123,000
21,991,400
20,943,000
28,124,700
20,943,700
28,922,000
27,959,100
19,999,100
20,984,200
19,953,700
26,938,100
26,993,100
26,850,200
26,048,600
25,927,900
25,930,600
25,929,700
25,930,900
24,978,700
24,931,800
24,932,900
24,932,800
24,051,200
23,881,300
23,933,900
24,024,600
22,991,100
22,969,200
22,938,700
22,938,800
21,941,600
22,933,900
28,922,200
22,018,900
22,025,300
41,019,500
20,944,100
19,947,400
20,010,100
20,943,900
26,938,900
25,929,500
26,927,900
20,079,200
27,081,500
17,952,700
26,104,500
24,938,900
25,026,900
24,933,100
24,930,300
24,934,200
24,902,600
23,935,500
23,903,500
23,944,700
22,938,800
22,938,700
22,862,400
23,073,500
23,001,600
20,979,200
22,061,200
21,985,000
22,102,000
21,979,100
20,943,200
20,977,700
19,942,000
18,949,700
20,005,500
26,964,200
19,962,200
26,908,900
26,955,000
26,927,800
26,020,200
25,954,600
24,933,300
25,051,200
25,930,400
24,897,300
24,933,300
24,933,400
23,936,200
25,031,900
24,974,200
23,954,400
23,935,100
27,964,000
20,102,300
20,930,800
18,949,300
26,082,200
38,951,000
25,901,700
25,930,400
26,024,800
24,944,000
24,932,700
24,932,900
24,954,700
23,935,500
23,953,100
23,936,000
24,933,100
22,982,900
24,028,500
22,949,700
23,005,000
22,845,500
21,941,600
23,031,300
21,954,400
28,043,800
25,930,400
25,930,100
24,932,500
24,929,800
24,927,000
24,972,100
23,999,500
24,932,300
23,935,900
